Roll,Math,Physics,Chemistry,Computer Science
100,93,67,94,68
101,89,62,79,85
102,73,98,84,91
103,68,100,95,84
104,71,72,81,59
105,86,81,84,58
106,77,78,81,90
107,94,62,82,76
108,77,63,99,86
109,80,69,85,88
110,89,78,94,59
111,95,90,83,80
112,71,94,78,58
113,95,83,94,56
114,87,77,81,100
115,85,82,81,72
116,92,100,93,94
117,95,80,85,75
118,89,99,99,60
119,89,98,94,99
120,99,93,79,58
121,98,90,100,69
122,76,93,78,70
123,98,88,80,84
124,80,85,78,57
125,95,88,95,85
126,93,62,88,96
127,85,74,86,69
128,77,74,77,89
129,74,90,85,91
130,80,100,81,66
131,70,85,77,86
132,89,64,97,74
133,71,94,87,82
134,79,82,89,100
135,79,81,95,61
136,94,92,95,67
137,100,62,86,73
138,72,61,93,57
139,84,75,90,64
140,80,87,81,78
141,78,77,93,60
142,70,81,80,95
143,79,83,88,63
144,84,83,100,69
145,77,95,95,89
146,80,61,97,74
147,93,83,91,64
148,69,82,94,64
149,99,81,85,63
150,88,98,85,95
151,96,88,82,65
152,98,60,83,90
153,87,90,78,83
154,67,71,99,59
155,92,93,99,91
156,67,98,91,91
157,85,77,84,98
158,93,80,100,57
159,74,83,95,89
160,99,60,93,57
161,81,95,83,99
162,95,71,84,72
163,73,99,77,77
164,68,85,80,67
165,88,70,89,71
166,79,99,78,74
167,85,76,89,86
168,96,61,87,77
169,68,60,94,77
170,87,64,91,87
171,98,74,88,82
172,99,67,89,60
173,98,88,82,62
174,67,96,78,75
175,72,60,89,73
176,83,89,86,85
177,70,97,89,85
178,69,84,94,93
179,89,100,88,75
180,68,92,81,97
181,88,68,82,93
182,82,65,90,82
183,94,97,89,79
184,98,77,97,63
185,70,73,88,56
186,84,91,89,92
187,96,76,81,99
188,85,66,90,59
189,78,81,88,62
190,95,96,97,77
191,97,81,79,90
192,71,75,88,100
193,88,91,96,85
194,75,76,77,59
195,96,84,86,92
196,90,76,99,91
197,85,95,80,86
198,90,67,77,71
199,87,90,85,79
200,71,71,87,73
201,86,83,95,64
202,86,64,95,67
203,91,60,80,80
204,90,99,90,92
205,70,81,99,93
206,78,61,94,62
207,69,63,91,56
208,78,72,81,82
209,71,86,87,72
210,98,94,83,89
211,76,94,89,72
212,93,81,99,63
213,100,60,81,58
214,78,93,95,58
215,86,89,93,94
216,67,74,80,81
217,69,61,100,93
218,88,78,96,94
219,80,68,90,71
220,98,64,91,68
221,86,89,84,90
222,80,86,98,67
223,97,76,85,81
224,91,93,82,96
225,97,75,83,100
226,85,96,94,98
227,89,97,99,88
228,84,60,100,66
229,88,69,93,65
230,78,71,78,69
231,69,85,77,64
232,76,73,98,96
233,71,90,99,73
234,98,91,85,71
235,80,79,98,96
236,82,64,87,100
237,93,85,89,69
238,84,97,91,60
239,72,76,87,62
240,79,77,98,58
241,97,94,84,80
242,70,65,98,91
243,78,74,78,73
244,92,71,78,87
245,96,84,85,81
246,70,81,97,56
247,83,96,84,60
248,70,79,89,100
249,81,67,81,98
250,100,89,92,59
251,74,72,97,70
252,88,97,99,88
253,86,73,96,72
254,99,89,77,65
255,83,88,77,99
256,67,83,96,65
257,90,78,92,79
258,72,70,86,68
259,79,77,93,88
260,97,95,99,88
261,67,90,99,62
262,71,71,77,77
263,74,93,92,56
264,78,85,92,92
265,73,68,84,78
266,97,69,97,72
267,93,79,79,92
268,95,91,88,98
269,97,89,92,94
270,73,64,81,60
271,85,96,90,83
272,85,98,77,74
273,97,88,78,90
274,72,82,84,92
275,78,84,88,85
276,83,74,86,68
277,68,77,86,86
278,98,65,93,68
279,84,72,81,73
280,96,79,91,72
281,76,92,78,90
282,71,71,88,63
283,67,81,97,65
284,94,97,95,98
285,91,97,97,98
286,86,94,84,73
287,93,68,78,68
288,69,82,84,64
289,76,93,92,71
290,93,71,96,83
291,97,96,84,96
292,81,96,90,69
293,98,100,99,72
294,76,83,92,82
295,84,70,83,81
296,83,69,91,71
297,71,74,94,58
298,73,81,82,69
299,87,61,89,85
300,72,62,87,78
301,97,86,85,87
302,86,69,95,79
303,96,89,96,68
304,75,98,89,75
305,77,100,91,82
306,76,92,91,83
307,74,87,87,74
308,73,90,83,75
309,86,97,86,74
310,73,60,99,92
311,78,79,79,100
312,78,93,97,85
313,69,68,98,72
314,92,92,100,87
315,90,84,94,86
316,79,87,92,56
317,88,64,80,93
318,81,84,86,70
319,81,79,98,66
320,90,60,87,95
321,96,68,98,64
322,96,66,78,89
323,95,92,100,81
324,91,91,83,74
325,68,69,96,58
326,97,80,88,71
327,69,69,96,57
328,90,78,97,77
329,75,65,98,57
330,94,69,84,74
331,82,64,88,56
332,84,88,79,96
333,94,73,93,72
334,84,87,98,99
335,68,65,97,99
336,92,87,82,80
337,71,73,100,64
338,80,86,92,81
339,76,75,86,81
340,78,76,77,60
341,67,96,91,74
342,75,69,89,65
343,97,61,80,75
344,90,73,86,56
345,77,81,87,99
346,90,85,99,71
347,68,86,93,57
348,75,67,96,81
349,70,100,78,73
350,89,98,93,74
351,67,96,93,70
352,97,68,92,77
353,85,60,100,67
354,100,66,81,72
355,84,86,100,62
356,67,82,91,90
357,68,80,99,95
358,94,79,100,86
359,71,98,91,75
360,80,86,93,85
361,74,96,88,58
362,68,66,98,100
363,79,81,81,100
364,94,92,99,95
365,79,95,99,70
366,100,63,93,63
367,92,69,97,64
368,84,75,81,68
369,88,68,86,89
370,67,64,82,60
371,88,84,79,98
372,93,95,78,67
373,75,88,82,91
374,79,89,99,69
375,86,97,81,61
376,79,78,91,75
377,93,65,99,95
378,96,84,87,91
379,91,87,98,83
380,93,78,92,79
381,69,61,88,79
382,88,99,93,89
383,70,84,80,64
384,80,79,99,60
385,82,70,98,66
386,80,95,82,95
387,84,88,93,63
388,72,69,90,96
389,92,64,81,95
390,98,99,78,97
391,79,79,87,66
392,75,86,83,67
393,94,79,84,76
394,94,60,82,90
395,72,66,82,75
396,88,99,95,76
397,85,71,84,79
398,82,67,89,75
399,84,65,86,56
400,84,96,95,91
401,79,91,93,87
402,89,86,100,59
403,73,88,90,63
404,99,60,91,60
405,77,73,90,98
406,67,69,95,82
407,67,79,80,76
408,72,73,99,62
409,92,67,82,62
410,93,94,100,92
411,84,86,82,81
412,91,62,85,63
413,70,62,91,70
414,80,89,85,86
415,95,76,93,66
416,84,71,99,91
417,98,67,97,86
418,71,96,95,93
419,75,91,94,61
420,90,83,97,65
421,68,70,81,80
